pert_iname	classes
oxybenzone	Lipase inhibitor
olomoucine	CDK inhibitor
olvanil	TRPV agonist
oxindole-I	VEGFR inhibitor
oxymetazoline	Adrenergic receptor agonist
P-1075	ATP channel activator|Potassium channel activator
pantoprazole	ATPase inhibitor
papaverine	Phosphodiesterase inhibitor
parachlorophenol	Antiinfective drug
pargyline	Monoamine oxidase inhibitor
PCA-4248	Platelet activating factor receptor antagonist
PCO-400	Potassium channel activator
PD-102807	Acetylcholine receptor antagonist
PD-123319	Angiotensin antagonist
PD-160170	Neuropeptide receptor antagonist
PD-166793	Metalloproteinase inhibitor|Collagenase inhibitor
PD-169316	P38 MAPK inhibitor
PD-198306	MAP kinase inhibitor|MEK inhibitor
PD-407824	PKC inhibitor
PD-98059	MEK inhibitor|MAP kinase inhibitor
D-64406	PDGFR tyrosine kinase receptor inhibitor
penfluridol	T-type calcium channel blocker
pentoxifylline	Phosphodiesterase inhibitor
pentylenetetrazol	GABA receptor antagonist
peucedanin	Apoptosis stimulant
PG-9	Acetylcholine receptor agonist
PHA-665752	C-Met inhibitor
phenazopyridine	Local anesthetic
pheniramine	Histamine receptor antagonist
phenoxybenzamine	Adrenergic receptor antagonist
phentolamine	Adrenergic receptor antagonist
acetohydroxamic-acid	Urease inhibitor
phenylbutazone	Cyclooxygenase inhibitor|Prostanoid receptor antagonist
PHTPP	Estrogen receptor antagonist
PI-828	PI3K inhibitor
piceatannol	SYK inhibitor
pinacidil	ATP channel activator|Potassium channel activator
pinocembrin	CYP1B1 inhibitor
pirenzepine	Acetylcholine receptor antagonist
PIT	Purinergic receptor antagonist
PK-11195	Benzodiazepine receptor antagonist
midostaurin	FLT3 inhibitor|KIT inhibitor|PKC inhibitor
PNU-120596	Acetylcholine receptor agonist
PNU-22394	Serotonin receptor agonist
PNU-282987	Cholinergic receptor agonist
PNU-96415E	Dopamine receptor antagonist
podophyllotoxin	Microtubule inhibitor|Tubulin inhibitor
PP-1	Src inhibitor|Abl kinase inhibitor
PP-2	Src inhibitor
PP-3	EGFR inhibitor
PPT	Estrogen receptor agonist
PQ-401	IGF-1 inhibitor|Insulin growth factor receptor inhibitor
pravastatin	HMGCR inhibitor
prazosin	Adrenergic receptor antagonist
probenecid	Uricosuric blocker
probucol	Atherogenesis inhibitor
procainamide	Sodium channel blocker
prometon	Photosynthesis inhibitor
propafenone	Antiarrhythmic
propofol	GABA receptor agonist
beta-CCP	Indoleamine 2,3-dioxygenase inhibitor
prostaglandin-a1	HSP inducer|NFkB pathway inhibitor
prostaglandin-b2	CAMP inhibitor
prothionamide	Mycobacterium tuberculosis enoyl-[acyl-carrier-protein] reductase [NADH] (inhA) inhibitor
prunetin	Breast cancer resistance protein inhibitor
PSB-11	Adenosine receptor antagonist
pseudoephedrine	Adrenergic receptor agonist
psoromic-acid	Ras GTPase inhibitor
puromycin	Protein synthesis inhibitor
mepyramine	Histamine receptor antagonist
pyrimethamine	Dihydrofolate reductase inhibitor
palmitoylethanolamide	Cannabinoid receptor agonist
parthenolide	NFkB pathway inhibitor
phenanthridone	PARP inhibitor
phenformin	AMPK activator
phosphodiesterase-V-inhibitor-II	Phosphodiesterase inhibitor
picotamide	Thromboxane receptor antagonist|Thromboxane synthase inhibitor
picrotoxin	GABA receptor antagonist
pifithrin-alpha	TP53 inhibitor
pifithrin	Interleukin receptor antagonist
pimozide	Dopamine receptor antagonist
piperacetazine	Dopamine receptor antagonist
piretanide	Glucocorticoid receptor agonist
pirfenidone	TGF beta receptor inhibitor
pregnenolone	Glutamate receptor modulator
procarbazine	Monoamine oxidase inhibitor
procaterol	Adrenergic receptor agonist
proxymetacaine	Sodium channel blocker
propoxycaine	Local anesthetic
dinoprostone	Prostanoid receptor agonist
proxyfan	Histamine receptor modulator
pseudopelletierine	Anthelmintic agent
purmorphamine	Smoothened receptor agonist
pyrrolidine-dithiocarbamate	NFkB pathway inhibitor
quinidine	Sodium channel blocker
QX-314	Sodium channel blocker
quercetin	Polar auxin transport inhibitor
BRD-K84421793	Dopamine receptor agonist
BRD-K39187410	Antiamyloidogenic agent
morphothebaine	Adrenergic receptor antagonist
R-96544	Serotonin receptor antagonist
ranolazine	Sodium channel blocker
reserpine	Vesicular monoamine transporter inhibitor
REV-5901	Leukotriene receptor antagonist|Lipoxygenase inhibitor
RG-13022	PDGFR tyrosine kinase receptor inhibitor
RG-14620	EGFR inhibitor
RHC-80267	Triacylglycerol lipase inhibitor
roscovitine	CDK inhibitor
rosiglitazone	PPAR receptor agonist|Insulin sensitizer
rotenonic-acid	Retinoid receptor antagonist
RS-100329	Adrenergic receptor antagonist
RS-102221	Serotonin receptor antagonist
RS-16566	Serotonin receptor antagonist
RS-17053	Adrenergic receptor antagonist
RS-45041-190	Imidazoline receptor agonist
RS-504393	CC chemokine receptor antagonist
RS-56812	Serotonin receptor partial agonist
RS-67333	Serotonin receptor partial agonist
RS-67506	Serotonin receptor partial agonist
RWJ-21757	TLR agonist
ryanodine	Calcium channel blocker
racecadotril	Enkephalinase inhibitor
raclopride	Dopamine receptor antagonist
reboxetine	Adrenergic receptor antagonist
remacemide	Glutamate receptor antagonist
remoxipride	Dopamine receptor antagonist
rescinnamine	Angiotensin converting enzyme inhibitor
reserpic-acid	Norepinephrine transporter inhibitor
resveratrol	Cytochrome P450 inhibitor|SIRT activator
tretinoin	Retinoid receptor agonist|Retinoid receptor ligand
rilmenidine	Adrenergic receptor agonist|Imidazoline receptor agonist
riluzole	Glutamate inhibitor
rimcazole	Sigma receptor antagonist
rimexolone	Glucocorticoid receptor agonist
risperidone	Dopamine receptor antagonist|Serotonin receptor antagonist
Ro-04-5595	Glutamate receptor antagonist
Ro-08-2750	NGF binding inhibitor
Ro-10-5824	Dopamine receptor agonist
Ro-15-4513	GABA benzodiazepine site receptor inverse agonist
Ro-19-4605	GABA benzodiazepine site receptor inverse agonist
Ro-60-0175	Serotonin receptor agonist
rosmarinic-acid	GABA transaminase inhibitor
ryuvidine	Histone lysine methyltransferase inhibitor
terguride	Dopamine receptor agonist|Serotonin receptor antagonist
lisuride	Dopamine receptor agonist
ibuprofen-(S)	Cyclooxygenase inhibitor
salvinorin-a	Opioid receptor agonist
SANT-1	Smoothened receptor antagonist
sarmentogenin	ATPase inhibitor
SB-200646	Serotonin receptor antagonist
SB-202190	P38 MAPK inhibitor
SB-203580	P38 MAPK inhibitor
SB-205384	GABA receptor modulator
SB-205607	Delta 1 opioid receptor agonist
SB-218795	Tachykinin antagonist
SB-221284	Serotonin receptor antagonist
SB-222200	Tachykinin antagonist
SB-225002	CC chemokine receptor antagonist
SB-239063	P38 MAPK inhibitor
SB-269970	Serotonin receptor antagonist
SB-334867	Orexin receptor antagonist
SB-366791	TRPV antagonist
SB-408124	Orexin receptor antagonist
SB-415286	Glycogen synthase kinase inhibitor
SB-431542	TGF beta receptor inhibitor
SC-560	Cyclooxygenase inhibitor
SC-10	Protein kinase activator
IKK-2-inhibitor	IKK inhibitor|SYK inhibitor
SC-68376	P38 MAPK inhibitor
SC-9	Protein tyrosine kinase activator
scandenin	Plant compound with antimicrobiial activity
SCH-23390	Dopamine receptor antagonist
ecopipam	Dopamine receptor antagonist
SCH-442416	Adenosine receptor antagonist
SCH-58261	Adenosine receptor antagonist
scopolamine	Acetylcholine receptor antagonist
SDZ-205-557	Serotonin receptor antagonist
SDZ-21009	Adrenergic receptor antagonist|Serotonin receptor antagonist
SDZ-NKT-343	Tachykinin antagonist
SDZ-WAG-994	Adenosine receptor agonist
selinidin	Mast cell stabilizer
SEW-2871	Lysophospholipid receptor agonist
SIB-1757	Glutamate receptor antagonist
sinensetin	Cyclooxygenase inhibitor
skatole	Thrombin inhibitor
SKF-77434	Dopamine receptor agonist
SKF-81297	Dopamine receptor agonist
SKF-86002	P38 MAPK inhibitor
SKF-89976A	GABA uptake inhibitor
SKI-II	Sphingosine kinase inhibitor
pyrazolanthrone	JNK inhibitor
SQ-22536	Adenylyl cyclase inhibitor
SR-142948	Neurotensin receptor antagonist
SR-27897	CCK receptor antagonist
relcovaptan	Vasopressin receptor antagonist
SR-57227A	Serotonin receptor agonist
SR-59230A	Adrenergic receptor antagonist
SR-95639A	Acetylcholine receptor agonist
SSR-69071	Leukocyte elastase inhibitor
ST-91	Adrenergic receptor agonist
STO-609	Calmodulin antagonist
SU-4312	Tyrosine kinase inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
semaxanib	VEGFR inhibitor
SU-1498	VEGFR inhibitor
SU-6656	Src inhibitor
sulconazole	Sterol demethylase inhibitor
sulpiride	Dopamine receptor antagonist
saclofen	GABA receptor antagonist
salmeterol	Adrenergic receptor agonist
saquinavir	HIV protease inhibitor
scopolamine-n-oxide	Acetylcholine receptor antagonist
scoulerine	Adrenergic receptor antagonist|GABA receptor antagonist|Serotonin receptor antagonist
scriptaid	HDAC inhibitor
securinine	GABA receptor antagonist|TP53 activator
seneciphylline	Cytochrome P450 inhibitor
sertaconazole	Sterol demethylase inhibitor
skimmianine	Acetylcholinesterase inhibitor|Furoquinoline alkaloid
solanine	Acetylcholinesterase inhibitor
spironolactone	Mineralocorticoid receptor antagonist
SRC-kinase-inhibitor-II	Src inhibitor
ponalrestat	Aldose reductase inhibitor
strophanthidin	ATPase inhibitor
sulfafurazole	Bacterial antifolate
SYK-inhibitor	SYK inhibitor
syrosingopine	Vesicular monoamine transporter inhibitor
T-0070907	PPAR receptor antagonist
T-0156	Phosphodiesterase inhibitor
T-0901317	LXR agonist|ABC transporter expression enhancer|ROR inverse agonist
T-98475	Gonadotropin releasing factor hormone receptor antagonist
tangeritin	Cell cycle inhibitor
4,5,6,7-tetrabromobenzotriazole	Casein kinase inhibitor
TC-2559	Acetylcholine receptor agonist
TCB2	Serotonin receptor agonist
telmisartan	Angiotensin receptor antagonist
temefos	Cholinesterase inhibitor
TER-14687	Inhibitor of translocation of PKCq in T cells
testosterone-propionate	Androgen receptor agonist
tiabendazole	Angiogenesis inhibitor
thiothixene	Dopamine receptor antagonist
PCI-24781	HDAC inhibitor
tetramethylsilane	Internal standard for NMR spectroscopy
tolazamide	ATP channel blocker
tolbutamide	ATP channel blocker
tramadol	Opioid receptor agonist|Norepinephrine reputake inhibitor|Serotonin reuptake inhibitor
7-hydroxy-PIPAT	Dopamine receptor ligand
triamterene	Sodium channel blocker
trimethobenzamide	Histamine receptor antagonist
trioxsalen	DNA synthesis inhibitor
tripelennamine	Histamine receptor antagonist
thenoyltrifluoroacetone	Chelating agent
TTNPB	Retinoid receptor agonist
TWS-119	Glycogen synthase kinase inhibitor
tyrphostin-AG-99	Tyrosine kinase inhibitor
tyrphostin-47	EGFR inhibitor
tyrphostin-B44	EGFR inhibitor
talniflumate	Cyclooxygenase inhibitor
telenzepine	Acetylcholine receptor antagonist
tenidap	Cyclooxygenase inhibitor
terconazole	Sterol demethylase inhibitor
thiocolchicoside	GABA receptor antagonist
thioperamide	Histamine receptor antagonist
thioproperazine	Dopamine receptor antagonist
timolol	Adrenergic receptor antagonist
tiotidine	Histamine receptor antagonist
atomoxetine	Norepinephrine transporter inhibitor
tracazolate	GABA receptor modulator
tranilast	Angiogenesis inhibitor
trap-101	Opioid receptor antagonist|Nociceptin/orphanin FQ (NOP) receptor antagonist
trapidil	PDGFR tyrosine kinase receptor inhibitor
tremorine	Acetylcholine receptor agonist
tropanyl-3,5-dimethylbenzoate	Serotonin receptor antagonist
tyrphostin-AG-835	Protein tyrosine kinase inhibitor
U-18666A	Oxidosqualene cyclase inhibitor
U-99194	Dopamine receptor antagonist
U-0126	MEK inhibitor
U-46619	Thromboxane receptor agonist
U-74389F	Lipid peroxidase inhibitor
UB-165	Acetylcholine receptor agonist
UBP-302	Glutamate receptor antagonist
UCL-2077	Slow afterhyperpolarization channel blocker
brimonidine	Adrenergic receptor agonist
valsartan	Angiotensin receptor antagonist
vardenafil	Phosphodiesterase inhibitor
VEGF-receptor-2-kinase-inhibitor-IV	VEGFR inhibitor
verapamil	Calcium channel blocker
veratridine	Sodium channel activator
vinblastine	Microtubule inhibitor|Tubulin inhibitor
vincristine	Tubulin inhibitor
VUF-5681	Histamine receptor antagonist
vincamine	Adrenergic receptor antagonist
vinpocetine	Phosphodiesterase inhibitor|Sodium channel blocker
vitexin	Antioxidant
W-12	Calmodulin antagonist
W-13	Calmodulin antagonist
W-7	Calmodulin antagonist|Potassium channel blocker
W-9	Calmodulin antagonist
WAY-170523	Metalloproteinase inhibitor
WAY-213613	Glutamate inhibitor
apafant	Platelet activating factor receptor antagonist
WR-216174	PFMRK inhibitor
pirinixic-acid	PPAR receptor agonist
xanthoxyline	Other antifungal
xylazine	Adrenergic receptor agonist
xaliproden	Serotonin receptor agonist
Y-134	Estrogen receptor antagonist
azasetron	Serotonin receptor antagonist
YC-1	Guanylyl cyclase activator
YM-976	Phosphodiesterase inhibitor
YS-035	Calcium channel blocker
z-leu3-VS	Proteasome inhibitor
z-prolyl-prolinal	Prolyl endopeptidase inhibitor
ZD-2079	Adrenergic receptor agonist
ZD-7155	Angiotensin receptor antagonist
ZD-7288	HCN channel blocker
ZK-164015	Estrogen receptor antagonist
ZK-93423	Benzodiazepine receptor agonist
ZK-93426	Benzodiazepine receptor antagonist
ZM-241385	Adenosine receptor antagonist
ZM-306416	Abl kinase inhibitor|Src inhibitor|VEGFR inhibitor
ZM-323881	VEGFR inhibitor
zolmitriptan	Serotonin receptor agonist
zaprinast	Phosphodiesterase inhibitor
zardaverine	Phosphodiesterase inhibitor
zatebradine	HCN channel blocker
zolantidine	Histamine receptor antagonist
zuclopenthixol	Dopamine receptor antagonist
betulinic-acid	Apoptosis stimulant|Caspase activator|Diacylglycerol O acyltransferase inhibitor|HIV integrase inhibitor|NFkB pathway activator|SARS coronavirus 3C-like protease inhibitor|Topoisomerase inhibitor
bongkrek-acid	Mitochondrial ADP, ATP translocase inhibitor
bufalin	ATPase inhibitor
bulleyaconitine-a	Non-opiod analgesic
calpeptin	Calpain inhibitor
cinobufagin	ATPase inhibitor
flupentixol	Dopamine receptor antagonist
coumestrol	Estrogen receptor agonist
cyclopamine	Smoothened receptor antagonist
damnacanthal	Src inhibitor
dibutyrylcyclic-gmp	CGMP analog
formestane	Aromatase inhibitor
ginsenoside	Steroid hormone receptor agonist
mocimycin	Protein synthesis inhibitor
m-3M3FBS	Phospholipase activator
m-chlorophenylbiguanide	Serotonin receptor agonist
nTZDpa	PPAR receptor agonist
wiskostatin	Neural Wiskott-Aldrich syndrome protein inhibitor
alpha-estradiol	Estrogen receptor agonist
alvespimycin	HSP inhibitor
radicicol	HSP inhibitor
tanespimycin	HSP inhibitor
troglitazone	PPAR receptor agonist|Insulin sensitizer
valproic-acid	HDAC inhibitor
withaferin-a	IKK inhibitor
JTC-801	Opioid receptor antagonist
epigallocatechin	Nitric oxide synthase inhibitor
capsaicin	TRPV agonist
BAY-K-8644-(S)-(-)	L-type calcium channel activator
orteronel	Androgen biosynthesis inhibitor|Androgen receptor antagonist|Cytochrome P450 inhibitor
BAX-channel-blocker	Cytochrome C release inhibitor
itraconazole	Cytochrome P450 inhibitor
SN-38	Topoisomerase inhibitor
zileuton	Leukotriene inhibitor|Lipoxygenase inhibitor
oligomycin-a	ATP synthase inhibitor|ATPase inhibitor
BRD-A83255679	Estrogen receptor antagonist
RITA	MDM inhibitor
7-nitroindazole	Nitric oxide synthase inhibitor
alda-1	Aldehyde dehydrogenase activator
rotenone	Mitochondrial complex I inhibitor
NVP-BEZ235	MTOR inhibitor|PI3K inhibitor
XAV-939	Tankyrase inhibitor
PRIMA1	TP53 inhibitor
phloretin	Sodium/glucose cotransporter inhibitor
SCH-79797	Proteasome inhibitor
gossypol	BCL inhibitor|MCL1 inhibitor
4-iodo-6-phenylpyrimidine	Macrophage inhibitor
CD-1530	Retinoid receptor agonist
imiquimod	Interferon inducer|TLR agonist
cytochalasin-b	Microtubule inhibitor
CD-437	Retinoid receptor agonist
AGK-2	SIRT inhibitor
NVP-AUY922	HSP inhibitor
cerulenin	Fatty acid synthase inhibitor
tivozanib	VEGFR inhibitor
MK-1775	WEE1 kinase inhibitor
selumetinib	MEK inhibitor
FK-866	Niacinamide phosphoribosyltransferase inhibitor
serdemetan	MDM inhibitor
KO-143	Breast cancer resistance protein inhibitor
quinoclamine	Algicide
BRD-K68548958	Histone acetyltransferase inhibitor
PF-04217903	C-Met inhibitor
BRD-K89329876	Kinesin inhibitor
16,16-dimethylprostaglandin-e2	Prostanoid receptor agonist
BRD-K92980438	Hexokinase inhibitor
SJ-172550	MDM inhibitor
AC-55649	Retinoid receptor agonist
kinetin-riboside	Apoptosis stimulant
fatostatin	SREBP inhibitor
calcitriol	Vitamin D receptor agonist
BRD-K86682249	Tyrosine phosphatase inhibitor
15-delta-prostaglandin-j2	PPAR receptor agonist
BRD-K30064966	Caspase activator
triptolide	RNA polymerase inhibitor
9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide	NFkB pathway inhibitor
BRD-K98404142	Glucose 6-phosphate dehydrogenase inhibitor
2',5'-dideoxyadenosine	Adenylyl cyclase inhibitor
2-fluoropalmitic-acid	Palmitoyl-CoA biosynthesis inhibitor
CHEMBL-374350	NFkB pathway inhibitor
CHEMBL-399379	ATP citrase lyase inhibitor
RS-23597-190	Serotonin receptor antagonist
idarubicin	Topoisomerase inhibitor
PIK-75	DNA protein kinase inhibitor|PI3K inhibitor
7b-cis	Exportin antagonist
ABT-737	BCL inhibitor
navitoclax	BCL inhibitor
ABT-751	Tubulin inhibitor
veliparib	PARP inhibitor
tyrphostin-AG-112	Protein tyrosine kinase inhibitor
rucaparib	PARP inhibitor
AG-14361	PARP inhibitor
AICA-ribonucleotide	AMPK activator
APO-866	Niacinamide phosphoribosyltransferase inhibitor|NAMPT inhibitor
AS-605240	PI3K inhibitor
AZD-7545	Pyruvate dehydrogenase kinase inhibitor
olaparib	PARP inhibitor
AZD-8055	MTOR inhibitor
AKT-inhibitor-IV	AKT inhibitor
10-DEBC	AKT inhibitor
AKT-inhibitor-1-2	AKT inhibitor
3-amino-benzamide	PARP inhibitor
arachidonyl-trifluoro-methane	Cytosolic phospholipase inhibitor
bortezomib	NFkB pathway inhibitor|Proteasome inhibitor
BI-2536	PLK inhibitor
BIBR-1532	Telomerase inhibitor
pyrvinium-pamoate	Androgen receptor antagonist|AKT inhibitor
BML-259	CDK inhibitor
BMS-299897	Gamma secretase inhibitor
BMS-536924	IGF-1 inhibitor
BMS-641988	Androgen receptor antagonist
BMS-754807	IGF-1 inhibitor
BO2-inhibits-RAD51	RAD51 inhibitor
BX-795	IKK inhibitor
CAY-10594	Phospholipase inhibitor
CAY-10618	NAMPT inhibitor
tosedostat	Peptidase inhibitor
CI-976	ACAT inhibitor
CYT-997	Tubulin inhibitor
fluoropyruvate	Pyruvate dehydrogenase inhibitor
batimastat	Matrix metalloprotease inhibitor
DL-TBOA	Excitatory amino acid transporter inhibitor
AR-C133057XX	Nitric oxide synthase inhibitor
M2-PK-activator	Pyruvate kinase isozyme activator
curcumin	Cyclooxygenase inhibitor|Histone acetyltransferase inhibitor|Lipoxygenase inhibitor|NFkB pathway inhibitor
cytosporone-b	NUR77 receptor agonist
DG-041	Prostanoid receptor antagonist
DL-PDMP	Glucosyltransferase inhibitor
etomoxir	Carnitine palmitoyltransferase inhibitor
ERK-inhibitor-11E	MAP kinase inhibitor
EX-527	SIRT inhibitor
evodiamine	ATPase inhibitor|TRPV agonist
FTI-276	Farnesyltransferase inhibitor
fumonisin-b1	Sphingosine N acyltransferase inhibitor
GANT-58	GLI antagonist
GMX-1778	NAMPT inhibitor
GSK-2334470	Pyruvate dehydrogenase kinase inhibitor
ISOX	HDAC inhibitor
neratinib	EGFR inhibitor
HLI-373	MDM inhibitor
IKK-inhibitor-X	IKK inhibitor
IKK3-inhibitor-IX	IKK inhibitor
isoliquiritigenin	Guanylate cyclase activator
importazole	Importin-beta transport receptor inhibitor
ingenol	PKC activator
inhibitor-BEC	Arginase inhibitor
dalcetrapib	Cholesterylester transfer protein inhibitor
JZL-184	Monoacylglucerol lipase inhibitor
KU-0060648	DNA dependent protein kinase inhibitor|PI3K inhibitor
KU-0063794	MTOR inhibitor
L-690330	Inositol monophosphatase inhibitor
L-690488	Inositol monophosphatase inhibitor
sulforaphane	Anticancer agent|Aryl hydrocarbon receptor antagonist
sonidegib	Smoothened receptor antagonist
pemetrexed	Dihydrofolate reductase inhibitor|Thymidylate synthase inhibitor
lenalidomide	Anticancer agent
maraviroc	CC chemokine receptor antagonist
enzalutamide	Androgen receptor antagonist
methylene-blue	Nitric oxide production inhibitor|Monoamine oxidase inhibitor|Tau aggregation inhibitor|Guanylyl cyclase inhibitor
quiflapon	Leukotriene inhibitor
MK-2206	AKT inhibitor
ixazomib	Proteasome inhibitor
pevonedistat	Nedd activating enzyme inhibitor
MST-312	Telomerase inhibitor
NF-449	Purinergic receptor antagonist
NFKB-activation-inhibitor-II	NFkB pathway inhibitor
NU-1025	PARP inhibitor|DNA dependent protein kinase inhibitor
narciclasine	Coflilin signaling pathway activator|LIM kinase activator|Rho associated kinase activator
nutlin-3	MDM inhibitor
linsitinib	IGF-1 inhibitor
sparfosic-acid	Aspartate carbamoyltransferase inhibitor
phenethyl-isothiocyanate	Anticancer agent
perhexiline	Carnitine palmitoyltransferase inhibitor
PF-750	FAAH inhibitor
PF-3845	FAAH inhibitor
PI-103	PI3K inhibitor|MTOR inhibitor
PIK-90	PI3K inhibitor
PJ-34	PARP inhibitor
PKCbeta-inhibitor	PKC inhibitor
vemurafenib	RAF inhibitor
PNU-74654	Beta-catenin inhibitor
PP-30	RAF inhibitor
prima-1-met	Thioredoxin inhibitor
PRL-3-inhibitor-I	Tyrosine phosphatase inhibitor
PT-630	Dipeptidyl peptidase inhibitor
PTB1	AMPK activator
PX-12	Thioredoxin inhibitor
parbendazole	Tubulin inhibitor
phenothiazine	Dopamine receptor antagonist
promethazine	Histamine receptor antagonist
QS-11	ARFGAP inhibitor
quinine	Hemozoin biocrystallization inhibitor
fostamatinib	SYK inhibitor
RG-108	DNA methyltransferase inhibitor
RHO-kinase-inhibitor-III[rockout]	Rho associated kinase inhibitor
Ro-28-1675	Glucokinase activator
SB-216763	Glycogen synthase kinase inhibitor
SID-26681509	Cathepsin inhibitor
SRT-1720	SIRT activator
STAT3-inhibitor-VI	STAT inhibitor
SU-11652	Tyrosine kinase inhibitor
orantinib	PDGFR tyrosine kinase receptor inhibitor|FGFR inhibitor|VEGFR inhibitor
salermide	SIRT inhibitor
TG-101348	JAK inhibitor|FLT3 inhibitor
TGX-115	PI3K inhibitor
TPCA-1	IKK inhibitor
TW-37	BCL inhibitor
temozolomide	DNA alkylating drug
tipifarnib	Farnesyltransferase inhibitor
tipifarnib-P2	Farnesyltransferase inhibitor
cyanoquinoline-11	Kinase inhibitor
triacsin-c	Adrenergic receptor antagonist
UK-356618	Metalloproteinase inhibitor
UNC-0321	Histone lysine methyltransferase inhibitor
ursolic-acid	11-beta hydroxysteroid dehydrogenase inhibitor|Acetylcholinesterase inhibitor|Caspase inhibitor|HIV protease inhibitor|Lipid peroxidase inhibitor|Quorum sensing signaling modulator|Steryl sulfatase inhibitor|Tyrosine phosphatase inhibitor|ATPase inhibitor|NFkB pathway inhibitor|STAT inhibitor
VER-155008	HSP inhibitor
tozasertib	Aurora kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|JAK inhibitor
valdecoxib	Cyclooxygenase inhibitor
YK-4279	Apoptosis stimulant|Binding of RNA helicase A to the transcription factor EWS-FLI1 inhibitor
YM-155	Survivin inhibitor
ZM-336372	RAF inhibitor
artesunate	DNA synthesis inhibitor
atorvastatin	HMGCR inhibitor
auranofin	NFkB pathway inhibitor
blebbistatin	ATPase inhibitor
chaetocin	Histone lysine methyltransferase inhibitor
darinaparsin	Apoptosis stimulant
elesclomol	Oxidative stress inducer
endo-IWR-1	PARP inhibitor
erastin	Ion channel antagonist
gemcitabine	Ribonucleotide reductase inhibitor
myriocin	Serine palmitoyltransferase inhibitor
phorbol-12-myristate-13-acetate	PKC activator
zebularine	DNA methyltransferase inhibitor
temsirolimus	MTOR inhibitor
thiazolopyrimidine	CDC inhibitor
LDN-193189	Serine/threonine kinase inhibitor
BRD-K91691979	Glucosylceramidase inhibitor
BRD-K76425766	Metalloproteinase inhibitor
BRD-K19059335	Runt-related transcription factor inhibitor
BRD-K14609189	PPAR receptor agonist
benzbromarone	Chloride channel blocker
BRD-A28422330	CDC inhibitor
BRD-A12633378	Potassium channel activator
BRD-K77690805	Pyruvate kinase isozyme activator
BRD-K58033748	Acetylcholine receptor antagonist
BRD-K45031696	Cytohesin inhibitor
BRD-K27074404	Solute carrier family member inhibitor
BRD-A16820783	Phosphodiesterase inhibitor
BRD-K00313977	APEX inhibitor
BRD-K07872006	Lipoxygenase inhibitor
EMF-BCA1-64	Caspase inhibitor
BRD-K11757396	Neuropeptide receptor ligand
BRD-K12401458	Lysophospholipid receptor agonist
BRD-K14048378	Lysophospholipid receptor agonist
BRD-K14236372	Lysophospholipid receptor agonist
BRD-K16618170	Lysophospholipid receptor agonist
BRD-K24127443	Lipoxygenase inhibitor
BRD-K35133769	Lipoxygenase inhibitor
BRD-K36038115	Neuropeptide receptor antagonist
KU-C103871	GSP agonist
BRD-K60218670	Lipoxygenase inhibitor
BRD-K64314806	Lipoxygenase inhibitor
EMF-BCA1-57	Caspase inhibitor
EMF-BCA1-60	Caspase inhibitor
FR-180204	MAP kinase inhibitor
BRD-K72817452	Lipoxygenase inhibitor
BRD-K73285375	Lipoxygenase inhibitor
10H-phenothiazin-10-yl)(p-tolyl)methanone	Butyrylcholinesterase inhibitor
2-(biphenyl-4-ylsulfonamido)pentanedioic-acid	Matrix metalloprotease inhibitor
BRD-K73709114	Glucosylceramidase inhibitor
BRD-K77681376	Casein kinase inhibitor
mafenide	Carbonic anhydrase inhibitor
BRD-K76211160	Cytochrome P450 inhibitor
5-nonyloxytryptamine	Serotonin receptor agonist
azathioprine	Dehydrogenase inhibitor
CAM-9-026	Membrane metalloendopeptidase inhibitor
KU-C103428N	CDC inhibitor|Rho associated kinase inhibitor
KU-C103443N	CDC inhibitor|Rho associated kinase inhibitor
KU-C103885	Cystic fibrosis transmembrane conductance regulator inhibitor
BRD-A53107311	Mitotic kinesin inhibitor
BRD-K48974000	CDC inhibitor
BRD-A69470004	XIAP inhibitor
BRD-A05680309	Caspase activator|XIAP inhibitor
BRD-A97035593	XIAP inhibitor
BRD-K55186349	Apelin receptor antagonist
myricetin	Androgen receptor agonist|Cytochrome P450 inhibitor
BRD-K53780220	FLT3 inhibitor
BRD-K56658166	Calcium channel blocker|Sodium channel blocker
BRD-K28452084	Opioid receptor agonist
BRD-K97274161	Beta-catenin inhibitor
BRD-K20401833	ROR inverse agonist
BRD-K70693222	DYRK inhibitor
latrepirdine	Glutamate receptor antagonist
BRD-K73610817	Apoptosis inhibitor
BRD-K78883024	Neuropeptide receptor antagonist
BRD-K30351863	APEX inhibitor
BRD-K37940862	Neuropeptide receptor antagonist
BRD-K68783079	CLK inhibitor|DYRK inhibitor
BRD-K59222562	DYRK inhibitor
BRD-K88761633	Glucosylceramidase inhibitor
BRD-A18279961	Pyruvate kinase isozyme activator
BRD-K06956503	Glucosylceramidase inhibitor
BRD-A32917072	ROR antagonist
BRD-A61599461	Thyroid-stimulating hormone receptor inverse agonist
BRD-A81377415	DYRK inhibitor|CLK inhibitor
BRD-A38793261	ROR antagonist
SAL-1	Adenosine receptor antagonist
BRD-A41630653	Glutamate receptor antagonist
VU-0365114-2	M5 modulator
VU-0366037-2	Glutamate receptor modulator
VU-0400071-3	Glutamate receptor modulator
VU-0400193-3	Glutamate receptor modulator
