pert_iname	classes
ebselen	Anti-Ulcer Agents|Neuroprotective Agents|Organoselenium Compounds|Antioxidants|Pharmacologic Actions|Antirheumatic Agents|Anti-Inflammatory Agents|Analgesics|Enzyme Inhibitors|Heterocyclic Compounds|Organic Chemicals|Anti-Inflammatory Agents, Non-Steroidal|Cyclooxygenase Inhibitors|ebselen|Physiological Effects of Drugs|Azoles|Protective Agents|Molecular Mechanisms of Pharmacological Action|Analgesics, Non-Narcotic|Peripheral Nervous System Agents|Central Nervous System Agents|Gastrointestinal Agents|Chemicals and Drugs Category|Specialty Uses of Chemicals|Heterocyclic Compounds, 1-Ring|Sensory System Agents|Chemical Actions and Uses|Therapeutic Uses
MR-16728	Lipids|Aniline Compounds|Fatty Acids|MR 16728|Acids, Acyclic|Acetates|Carboxylic Acids|Heterocyclic Compounds|Organic Chemicals|Anilides|Fatty Acids, Volatile|Acetamides|Amides|Chemicals and Drugs Category|Amines|Heterocyclic Compounds, 1-Ring|Azepines|Acetanilides
naftopidil	Polycyclic Aromatic Hydrocarbons|Antihypertensive Agents|Calcium-Regulating Hormones and Agents|Adrenergic Antagonists|Adrenergic Agents|Platelet Aggregation Inhibitors|Pharmacologic Actions|Hydrocarbons, Cyclic|Hematologic Agents|Heterocyclic Compounds|Organic Chemicals|Neurotransmitter Agents|naftopidil|Physiological Effects of Drugs|Cardiovascular Agents|Molecular Mechanisms of Pharmacological Action|Hydrocarbons|Naphthalenes|Membrane Transport Modulators|Adrenergic alpha-Antagonists|Polycyclic Compounds|Chemicals and Drugs Category|Piperazines|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Hydrocarbons, Aromatic|Calcium Channel Blockers|Therapeutic Uses
terazosin	Heterocyclic Compounds|Adrenergic Agents|Heterocyclic Compounds, 2-Ring|Adrenergic alpha-Antagonists|Neurotransmitter Agents|Adrenergic alpha-1 Receptor Antagonists|Physiological Effects of Drugs|Chemicals and Drugs Category|Molecular Mechanisms of Pharmacological Action|Adrenergic Antagonists|Pharmacologic Actions|Urological Agents|Terazosin|Heterocyclic Compounds, Fused-Ring|Chemical Actions and Uses|Therapeutic Uses|Quinazolines
triclabendazole	Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|Antiplatyhelmintic Agents|Anthelmintics|Anti-Infective Agents|Antiparasitic Agents|Chemicals and Drugs Category|Pharmacologic Actions|Heterocyclic Compounds, Fused-Ring|Benzimidazoles|Chemical Actions and Uses|Therapeutic Uses|Triclabendazole
chlormadinone-acetate	Hormone Antagonists|Steroids|Steroids, Chlorinated|Contraceptives, Oral|Pharmacologic Actions|Contraceptive Agents, Hormonal|Pregnanes|Chlormadinone Acetate|Reproductive Control Agents|Androgen Antagonists|Physiological Effects of Drugs|Pregnadienes|Hormones, Hormone Substitutes, and Hormone Antagonists|Contraceptives, Oral, Hormonal|Polycyclic Compounds|Contraceptive Agents|Contraceptives, Oral, Synthetic|Chemicals and Drugs Category|Contraceptive Agents, Female|Fused-Ring Compounds|Chemical Actions and Uses|Therapeutic Uses
ICI-89406	Organic Chemicals|Pharmacologic Actions|Adrenergic beta-Antagonists|Neurotransmitter Agents|Amino Alcohols|Propanols|Physiological Effects of Drugs|Chemicals and Drugs Category|Molecular Mechanisms of Pharmacological Action|Amines|Adrenergic Antagonists|ICI 89406|Propanolamines|Alcohols|Chemical Actions and Uses|Adrenergic Agents
pergolide	Heterocyclic Compounds|Pharmacologic Actions|Pergolide|Ergot Alkaloids|Neurotransmitter Agents|Ergolines|Physiological Effects of Drugs|Chemicals and Drugs Category|Molecular Mechanisms of Pharmacological Action|Heterocyclic Compounds, Fused-Ring|Dopamine Agents|Dopamine Agonists|Chemical Actions and Uses|Alkaloids|Heterocyclic Compounds, 4 or More Rings
niridazole	Anti-Infective Agents|Inorganic Chemicals|Pharmacologic Actions|Sulfur Compounds|Anthelmintics|Thiazoles|Heterocyclic Compounds|Organic Chemicals|Imidazoles|Schistosomicides|Antiplatyhelmintic Agents|Azoles|Antiprotozoal Agents|Amebicides|Niridazole|Antiparasitic Agents|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Therapeutic Uses
levcromakalim	Cromakalim|Antihypertensive Agents|Pyrroles|Anti-Asthmatic Agents|Heterocyclic Compounds, Fused-Ring|Autonomic Agents|Pyrans|Pharmacologic Actions|Respiratory System Agents|Bronchodilator Agents|Benzopyrans|Heterocyclic Compounds|Physiological Effects of Drugs|Azoles|Cardiovascular Agents|Parasympatholytics|Peripheral Nervous System Agents|Heterocyclic Compounds, 2-Ring|Vasodilator Agents|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Therapeutic Uses
pravastatin	Polycyclic Aromatic Hydrocarbons|Noxae|Antimetabolites|Anticholesteremic Agents|Pharmacologic Actions|Hydrocarbons, Cyclic|Pravastatin|Enzyme Inhibitors|Organic Chemicals|Molecular Mechanisms of Pharmacological Action|Hypolipidemic Agents|Hydrocarbons|Naphthalenes|Toxic Actions|Polycyclic Compounds|Chemicals and Drugs Category|Lipid Regulating Agents|Hydroxymethylglutaryl-CoA Reductase Inhibitors|Chemical Actions and Uses|Hydrocarbons, Aromatic|Therapeutic Uses
celecoxib	Celecoxib|Inorganic Chemicals|Pharmacologic Actions|Sulfur Compounds|Antirheumatic Agents|Anti-Inflammatory Agents|Pyrazoles|Analgesics|Enzyme Inhibitors|Heterocyclic Compounds|Organic Chemicals|Anti-Inflammatory Agents, Non-Steroidal|Cyclooxygenase Inhibitors|Sulfones|Physiological Effects of Drugs|Azoles|Molecular Mechanisms of Pharmacological Action|Cyclooxygenase 2 Inhibitors|Analgesics, Non-Narcotic|Peripheral Nervous System Agents|Sulfonamides|Amides|Central Nervous System Agents|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring|Sensory System Agents|Chemical Actions and Uses|Therapeutic Uses
farnesol	Organic Chemicals|Lipids|Chemicals and Drugs Category|Farnesol|Fatty Alcohols|Alcohols|Hydrocarbons|Sesquiterpenes|Terpenes
buphenine	Nasal Decongestants|Adrenergic beta-Agonists|Autonomic Agents|Vasoconstrictor Agents|Adrenergic Agents|Pharmacologic Actions|Respiratory System Agents|Ethylamines|Phenylpropanolamine|Anti-Obesity Agents|Phenethylamines|Organic Chemicals|Neurotransmitter Agents|Reproductive Control Agents|Physiological Effects of Drugs|Molecular Mechanisms of Pharmacological Action|Cardiovascular Agents|Adrenergic alpha-Agonists|Propanolamines|Alcohols|Peripheral Nervous System Agents|Appetite Depressants|Adrenergic Agonists|Vasodilator Agents|Amino Alcohols|Propanols|Sympathomimetics|Chemicals and Drugs Category|Tocolytic Agents|Amines|Chemical Actions and Uses|Therapeutic Uses|Nylidrin
BMY-14802	Heterocyclic Compounds|Pharmacologic Actions|Central Nervous System Agents|Anti-Anxiety Agents|Physiological Effects of Drugs|Chemicals and Drugs Category|Psychotropic Drugs|Tranquilizing Agents|Central Nervous System Depressants|Heterocyclic Compounds, 1-Ring|Pyrimidines|alpha-(4-fluorophenyl)-4-(5-fluoro-2-pyrimidinyl)-1-piperazine butanol|Chemical Actions and Uses|Therapeutic Uses
SU-11274	Organic Chemicals|Heterocyclic Compounds, 2-Ring|Sulfonamides|Sulfur Compounds|Indoles|Sulfones|Chemicals and Drugs Category|Heterocyclic Compounds, Fused-Ring|Piperazines|((3Z)-N-(3-chlorophenyl)-3-((3,5-dimethyl-4-((4-methylpiperazin-1-yl)carbonyl)-1H-pyrrol-2-yl)methylene)-N-methyl-2-oxo-2,3-dihydro-1H-indole-5-sulfonamide)|Amides|Heterocyclic Compounds|Heterocyclic Compounds, 1-Ring|Inorganic Chemicals
mefenamic-acid	Aniline Compounds|Benzoates|Acids, Carbocyclic|Pharmacologic Actions|Benzene Derivatives|Mefenamic Acid|Antirheumatic Agents|Hydrocarbons, Cyclic|Carboxylic Acids|Anti-Inflammatory Agents|Analgesics|Enzyme Inhibitors|Organic Chemicals|Cyclooxygenase Inhibitors|Anti-Inflammatory Agents, Non-Steroidal|Physiological Effects of Drugs|Fenamates|Molecular Mechanisms of Pharmacological Action|Hydrocarbons|Analgesics, Non-Narcotic|Peripheral Nervous System Agents|Aminobenzoates|Central Nervous System Agents|Chemicals and Drugs Category|Amines|ortho-Aminobenzoates|Sensory System Agents|Chemical Actions and Uses|Hydrocarbons, Aromatic|Therapeutic Uses
purvalanol-b	Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|Purines|Chemicals and Drugs Category|Heterocyclic Compounds, Fused-Ring
heraclenol	Pyrans|Heterocyclic Compounds|Furans|heraclenol|Chemicals and Drugs Category|Heterocyclic Compounds, Fused-Ring|Heterocyclic Compounds, 1-Ring|Benzopyrans|Heterocyclic Compounds, 2-Ring
pifithrin	Heterocyclic Compounds|Organic Chemicals|Heterocyclic Compounds, 2-Ring|Sulfur Compounds|Chemicals and Drugs Category|Azoles|Heterocyclic Compounds, Fused-Ring|Heterocyclic Compounds, 1-Ring|pifithrin|Benzothiazoles|Thiazoles|Inorganic Chemicals
propantheline	Anti-Ulcer Agents|Heterocyclic Compounds, 3-Ring|Heterocyclic Compounds, Fused-Ring|Quaternary Ammonium Compounds|Inorganic Chemicals|Cholinergic Agents|Pharmacologic Actions|Nitrogen Compounds|Onium Compounds|Propantheline|Cholinergic Antagonists|Heterocyclic Compounds|Organic Chemicals|Muscarinic Antagonists|Neurotransmitter Agents|Physiological Effects of Drugs|Molecular Mechanisms of Pharmacological Action|Xanthenes|Gastrointestinal Agents|Chemicals and Drugs Category|Amines|Ammonium Compounds|Chemical Actions and Uses|Therapeutic Uses
noretynodrel	Steroids|Norethynodrel|Contraceptives, Oral|Pharmacologic Actions|Norpregnanes|Contraceptive Agents, Hormonal|Reproductive Control Agents|Physiological Effects of Drugs|Norsteroids|Contraceptives, Oral, Hormonal|Polycyclic Compounds|Contraceptive Agents|Contraceptives, Oral, Synthetic|Chemicals and Drugs Category|Contraceptive Agents, Female|Fused-Ring Compounds|Chemical Actions and Uses|Therapeutic Uses|Norpregnenes
prednicarbate	prednicarbate|Pharmacologic Actions|Steroids|Pregnadienetriols|Polycyclic Compounds|Physiological Effects of Drugs|Chemicals and Drugs Category|Adrenal Cortex Hormones|Hormones|Fused-Ring Compounds|Glucocorticoids|Pregnadienes|Anti-Inflammatory Agents|Pregnanes|Chemical Actions and Uses|Therapeutic Uses|Hormones, Hormone Substitutes, and Hormone Antagonists
indolophenanthridine	Heterocyclic Compounds, 3-Ring|Heterocyclic Compounds, Fused-Ring|Antiparkinson Agents|Pharmacologic Actions|Dopamine Agents|Dopamine Agonists|Heterocyclic Compounds|Anti-Dyskinesia Agents|Neurotransmitter Agents|Phenanthridines|Physiological Effects of Drugs|Molecular Mechanisms of Pharmacological Action|CY 208-243|Heterocyclic Compounds, 2-Ring|Indoles|Central Nervous System Agents|Chemicals and Drugs Category|Chemical Actions and Uses|Therapeutic Uses
propranolol	Polycyclic Aromatic Hydrocarbons|Antihypertensive Agents|Adrenergic Antagonists|Adrenergic Agents|Pharmacologic Actions|Hydrocarbons, Cyclic|Phenoxypropanolamines|Organic Chemicals|Adrenergic beta-Antagonists|Neurotransmitter Agents|Physiological Effects of Drugs|Cardiovascular Agents|Molecular Mechanisms of Pharmacological Action|Propanolamines|Alcohols|Hydrocarbons|Naphthalenes|Vasodilator Agents|Anti-Arrhythmia Agents|Polycyclic Compounds|Amino Alcohols|Propanols|Chemicals and Drugs Category|Amines|Propranolol|Chemical Actions and Uses|Hydrocarbons, Aromatic|Therapeutic Uses
Ro-3306	Heterocyclic Compounds|Organic Chemicals|Heterocyclic Compounds, 2-Ring|Sulfur Compounds|Chemicals and Drugs Category|Azoles|Heterocyclic Compounds, Fused-Ring|RO 3306|Heterocyclic Compounds, 1-Ring|Thiazoles|Quinolines|Inorganic Chemicals
ZM-306416	Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|Chemicals and Drugs Category|Heterocyclic Compounds, Fused-Ring|Quinazolines
tyrphostin-AG-527	Heterocyclic Compounds, Fused-Ring|Nitriles|Benzene Derivatives|Pharmacologic Actions|Hydrocarbons, Cyclic|Antineoplastic Agents|Tyrphostins|Enzyme Inhibitors|Heterocyclic Compounds|Organic Chemicals|Benzylidene Compounds|Molecular Mechanisms of Pharmacological Action|Hydrocarbons|tyrphostin B44|Heterocyclic Compounds, 2-Ring|Quinoxalines|Chemicals and Drugs Category|Chemical Actions and Uses|Hydrocarbons, Aromatic|Therapeutic Uses
tyrphostin-AG-112	Hydrocarbons, Acyclic|Organic Chemicals|Alkadienes|Butadienes|Chemicals and Drugs Category|Alkenes|2-amino-4-(4'-hydroxyphenyl)-1,1,3-tricyanobuta-1,3-diene|Hydrocarbons|Polyenes|Nitriles
gavestinel	Heterocyclic Compounds|3-(2-((phenylamino)carbonyl)ethenyl)-4,6-dichloroindole-2-carboxylic acid|Heterocyclic Compounds, 2-Ring|Indoles|Neurotransmitter Agents|Excitatory Amino Acid Antagonists|Physiological Effects of Drugs|Chemicals and Drugs Category|Excitatory Amino Acid Agents|Pharmacologic Actions|Molecular Mechanisms of Pharmacological Action|Heterocyclic Compounds, Fused-Ring|Chemical Actions and Uses|Glycine Agents
proguanil	Anti-Infective Agents|Noxae|Antimetabolites|Pharmacologic Actions|Hypoglycemic Agents|Amidines|Biguanides|Organic Chemicals|Physiological Effects of Drugs|Antiprotozoal Agents|Molecular Mechanisms of Pharmacological Action|Antiparasitic Agents|Toxic Actions|Antimalarials|Guanidines|Chemicals and Drugs Category|Proguanil|Chemical Actions and Uses|Therapeutic Uses
acadesine	Ribonucleosides|Nucleosides|Glycosides|Nucleic Acids, Nucleotides, and Nucleosides|Chemicals and Drugs Category|acadesine|Carbohydrates
zeranol	Estrogens|Lactones|Noxae|Estrogens, Non-Steroidal|Pharmacologic Actions|Benzene Derivatives|Zearalenone|Hydrocarbons, Cyclic|Resorcinols|Toxins, Biological|Hormones|Organic Chemicals|Mycotoxins|Physiological Effects of Drugs|Hydrocarbons|Poisons|Biological Factors|Hormones, Hormone Substitutes, and Hormone Antagonists|Zeranol|Phenols|Toxic Actions|Chemicals and Drugs Category|Specialty Uses of Chemicals|Chemical Actions and Uses|Hydrocarbons, Aromatic
bethanechol	Quaternary Ammonium Compounds|Autonomic Agents|Inorganic Chemicals|Cholinergic Agents|Pharmacologic Actions|Nitrogen Compounds|Onium Compounds|Acids, Acyclic|Carbamates|Carboxylic Acids|Cholinergic Agonists|Bethanechol|Organic Chemicals|Neurotransmitter Agents|Bethanechol Compounds|Physiological Effects of Drugs|Molecular Mechanisms of Pharmacological Action|Trimethyl Ammonium Compounds|Peripheral Nervous System Agents|Muscarinic Agonists|Chemicals and Drugs Category|Parasympathomimetics|Amines|Ammonium Compounds|Chemical Actions and Uses
mestranol	Estrogens|Gonadal Steroid Hormones|Norpregnatrienes|Steroids|Contraceptives, Oral|Pharmacologic Actions|Norpregnanes|Contraceptive Agents, Hormonal|Hormones|Reproductive Control Agents|Physiological Effects of Drugs|Estradiol Congeners|Estrogenic Steroids, Alkylated|Norsteroids|Hormones, Hormone Substitutes, and Hormone Antagonists|Contraceptives, Oral, Hormonal|Polycyclic Compounds|Contraceptive Agents|Chemicals and Drugs Category|Contraceptive Agents, Female|Ethinyl Estradiol|Fused-Ring Compounds|Gonadal Hormones|Chemical Actions and Uses|Mestranol|Therapeutic Uses
17-hydroxyprogesterone-caproate	Gonadal Steroid Hormones|Progesterone|Hormone Antagonists|Steroids|Pharmacologic Actions|Hydroxyprogesterones|Progesterone Congeners|Pregnanes|Hormones|17-alpha-Hydroxyprogesterone|17 alpha-Hydroxyprogesterone Caproate|Pregnenediones|Physiological Effects of Drugs|Pregnenes|Corpus Luteum Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Progestins|Polycyclic Compounds|Chemicals and Drugs Category|Fused-Ring Compounds|Gonadal Hormones|Chemical Actions and Uses|Estrogen Antagonists
diazepam	Benzazepines|Psychotropic Drugs|Heterocyclic Compounds, Fused-Ring|Adjuvants, Anesthesia|Autonomic Agents|Benzodiazepinones|Anticonvulsants|Pharmacologic Actions|Anti-Anxiety Agents|Hypnotics and Sedatives|Diazepam|Central Nervous System Depressants|Antiemetics|Heterocyclic Compounds|Benzodiazepines|Anesthetics, General|Neurotransmitter Agents|Anesthetics|Physiological Effects of Drugs|Muscle Relaxants, Central|Molecular Mechanisms of Pharmacological Action|GABA Modulators|GABA Agents|Peripheral Nervous System Agents|Neuromuscular Agents|Heterocyclic Compounds, 2-Ring|Anesthetics, Intravenous|Central Nervous System Agents|Gastrointestinal Agents|Chemicals and Drugs Category|Tranquilizing Agents|Chemical Actions and Uses|Therapeutic Uses
bongkrek-acid	Organic Chemicals|Pharmacologic Actions|Anti-Bacterial Agents|Acids, Acyclic|Anti-Infective Agents|Chemicals and Drugs Category|Carboxylic Acids|Dicarboxylic Acids|Bongkrekic Acid|Chemical Actions and Uses|Therapeutic Uses
stavudine	Anti-Retroviral Agents|Stavudine|Nucleosides|Anti-Infective Agents|Noxae|Antimetabolites|Thymidine|Deoxyribonucleosides|Pharmacologic Actions|Nucleic Acid Synthesis Inhibitors|Glycosides|Reverse Transcriptase Inhibitors|Enzyme Inhibitors|Heterocyclic Compounds|Dideoxynucleosides|Nucleic Acids, Nucleotides, and Nucleosides|Anti-HIV Agents|Molecular Mechanisms of Pharmacological Action|Antiviral Agents|Toxic Actions|Chemicals and Drugs Category|Pyrimidine Nucleosides|Heterocyclic Compounds, 1-Ring|Pyrimidines|Carbohydrates|Chemical Actions and Uses|Therapeutic Uses
heliomycin	Polycyclic Aromatic Hydrocarbons|Organic Chemicals|Polycyclic Compounds|resistomycin|Hydrocarbons, Cyclic|Chemicals and Drugs Category|Pyrenes|Benzopyrenes|Hydrocarbons|Hydrocarbons, Aromatic
baeomycesic-acid	Acids, Carbocyclic|Organic Chemicals|Benzene Derivatives|Phenols|Resorcinols|Hydrocarbons, Cyclic|Chemicals and Drugs Category|Carboxylic Acids|Benzoates|baeomycesic acid|Hydrocarbons|Hydrocarbons, Aromatic
RS-17053	Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|Indoles|Chemicals and Drugs Category|Heterocyclic Compounds, Fused-Ring
sitagliptin	Pyrazines|Heterocyclic Compounds|Hormones|Pharmacologic Actions|Incretins|Triazoles|Sitagliptin Phosphate|Physiological Effects of Drugs|Chemicals and Drugs Category|Azoles|Molecular Mechanisms of Pharmacological Action|Protease Inhibitors|Dipeptidyl-Peptidase IV Inhibitors|Heterocyclic Compounds, 1-Ring|Hypoglycemic Agents|Chemical Actions and Uses|Hormones, Hormone Substitutes, and Hormone Antagonists|Enzyme Inhibitors
indole-3-carbinol	Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|Indoles|Anticarcinogenic Agents|Physiological Effects of Drugs|Chemicals and Drugs Category|Specialty Uses of Chemicals|Pharmacologic Actions|Protective Agents|Antineoplastic Agents|Heterocyclic Compounds, Fused-Ring|Chemical Actions and Uses|indole-3-carbinol|Therapeutic Uses
polydatin	Glucosides|Organic Chemicals|Benzene Derivatives|polydatin|Benzylidene Compounds|Glycosides|Hydrocarbons, Cyclic|Chemicals and Drugs Category|Stilbenes|Carbohydrates|Hydrocarbons|Hydrocarbons, Aromatic
pseudopelletierine	Chemicals and Drugs Category|Heterocyclic Compounds|Alkaloids
clofarabine	Nucleosides|Noxae|Antimetabolites|Heterocyclic Compounds, Fused-Ring|Pharmacologic Actions|Glycosides|Antineoplastic Agents|Heterocyclic Compounds|Clofarabine|Nucleic Acids, Nucleotides, and Nucleosides|Molecular Mechanisms of Pharmacological Action|Ribonucleotides|Heterocyclic Compounds, 2-Ring|Purines|Toxic Actions|Antimetabolites, Antineoplastic|Arabinonucleosides|Chemicals and Drugs Category|Carbohydrates|Therapeutic Uses|Chemical Actions and Uses|Nucleotides|Adenine Nucleotides|Purine Nucleotides
prednisolone-hemisuccinate	Hormones|Pharmacologic Actions|Glucocorticoids|Steroids|Pregnadienetriols|prednisolone hemisuccinate|Polycyclic Compounds|Physiological Effects of Drugs|Chemicals and Drugs Category|Adrenal Cortex Hormones|Fused-Ring Compounds|Pregnadienes|Pregnanes|Chemical Actions and Uses|Hormones, Hormone Substitutes, and Hormone Antagonists
talipexole	Psychotropic Drugs|Adrenergic Agents|Pharmacologic Actions|Antidepressive Agents|Dopamine Agents|Dopamine Agonists|Heterocyclic Compounds|Neurotransmitter Agents|Physiological Effects of Drugs|Adrenergic alpha-Agonists|Molecular Mechanisms of Pharmacological Action|talipexole|Adrenergic Agonists|Central Nervous System Agents|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring|Azepines|Chemical Actions and Uses|Therapeutic Uses
relcovaptan	relcovaptan|Heterocyclic Compounds|Platelet Aggregation Inhibitors|Heterocyclic Compounds, 2-Ring|Indoles|Hormone Antagonists|Pyrrolidines|Physiological Effects of Drugs|Chemicals and Drugs Category|Pharmacologic Actions|Hematologic Agents|Heterocyclic Compounds, Fused-Ring|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Therapeutic Uses|Hormones, Hormone Substitutes, and Hormone Antagonists
apafant	Fibrinolytic Agents|Heterocyclic Compounds|Platelet Aggregation Inhibitors|Pharmacologic Actions|Triazoles|WEB 2086|Chemicals and Drugs Category|Azoles|Fibrin Modulating Agents|Cardiovascular Agents|Hematologic Agents|Molecular Mechanisms of Pharmacological Action|Heterocyclic Compounds, 1-Ring|Azepines|Chemical Actions and Uses|Therapeutic Uses
mesalazine	Benzoates|Acids, Carbocyclic|Pharmacologic Actions|Benzene Derivatives|Antirheumatic Agents|Hydrocarbons, Cyclic|Carboxylic Acids|Anti-Inflammatory Agents|meta-Aminobenzoates|Analgesics|Enzyme Inhibitors|Organic Chemicals|Cyclooxygenase Inhibitors|Anti-Inflammatory Agents, Non-Steroidal|Physiological Effects of Drugs|Hydroxy Acids|Salicylates|Molecular Mechanisms of Pharmacological Action|Hydrocarbons|Analgesics, Non-Narcotic|Peripheral Nervous System Agents|Aminosalicylic Acids|Aminobenzoates|Hydroxybenzoates|Phenols|Central Nervous System Agents|Chemicals and Drugs Category|Sensory System Agents|Chemical Actions and Uses|Hydrocarbons, Aromatic|Mesalamine|Therapeutic Uses
GW-5074	Heterocyclic Compounds|Organic Chemicals|Benzene Derivatives|Indoles|Phenols|Hydrocarbons, Cyclic|Chemicals and Drugs Category|Heterocyclic Compounds, Fused-Ring|Hydrocarbons|Hydrocarbons, Aromatic|5-iodo-3-((3,5-dibromo-4-hydroxyphenyl)methylene)-2-indolinone|Heterocyclic Compounds, 2-Ring
tubastatin-a	tubastatin A|Organic Chemicals|Heterocyclic Compounds, 2-Ring|Hydroxamic Acids|Indoles|Hydroxy Acids|Hydroxylamines|Chemicals and Drugs Category|Carboxylic Acids|Amines|Heterocyclic Compounds|Heterocyclic Compounds, Fused-Ring
SB-225002	Organic Chemicals|Benzene Derivatives|Phenylurea Compounds|Hydrocarbons, Cyclic|Chemicals and Drugs Category|Urea|Amides|SB 225002|Hydrocarbons|Hydrocarbons, Aromatic
exemestane	Hormone Antagonists|Steroids|Androstenes|Pharmacologic Actions|Androstadienes|Antineoplastic Agents|Enzyme Inhibitors|Physiological Effects of Drugs|exemestane|Molecular Mechanisms of Pharmacological Action|Aromatase Inhibitors|Hormones, Hormone Substitutes, and Hormone Antagonists|Steroid Synthesis Inhibitors|Polycyclic Compounds|Androstanes|Chemicals and Drugs Category|Fused-Ring Compounds|Chemical Actions and Uses|Therapeutic Uses|Estrogen Antagonists
BRL-37344	Adrenergic beta-Agonists|Anti-Infective Agents|Adrenergic Agents|Pharmacologic Actions|Central Nervous System Depressants|Anti-Infective Agents, Local|Organic Chemicals|BRL 37344|Solvents|Ethanol|Neurotransmitter Agents|Physiological Effects of Drugs|Molecular Mechanisms of Pharmacological Action|Alcohols|Adrenergic Agonists|Central Nervous System Agents|Amino Alcohols|Chemicals and Drugs Category|Ethanolamines|Amines|Specialty Uses of Chemicals|Chemical Actions and Uses|Therapeutic Uses
SKF-81297	Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|Neurotransmitter Agents|Benzazepines|Physiological Effects of Drugs|Chemicals and Drugs Category|Pharmacologic Actions|Molecular Mechanisms of Pharmacological Action|SK and F 81297|Heterocyclic Compounds, Fused-Ring|Dopamine Agents|Dopamine Agonists|Chemical Actions and Uses
rimantadine	Macrocyclic Compounds|Anti-Infective Agents|Pharmacologic Actions|Nucleic Acid Synthesis Inhibitors|Hydrocarbons, Alicyclic|Hydrocarbons, Cyclic|Bridged-Ring Compounds|Enzyme Inhibitors|Organic Chemicals|Adamantane|Molecular Mechanisms of Pharmacological Action|Hydrocarbons|Antiviral Agents|Cycloparaffins|Polycyclic Compounds|Chemicals and Drugs Category|Rimantadine|Chemical Actions and Uses|Therapeutic Uses
mepireserpate	Antihypertensive Agents|Antipsychotic Agents|Indolizines|Psychotropic Drugs|Adrenergic Antagonists|Adrenergic alpha-2 Receptor Antagonists|Heterocyclic Compounds, Fused-Ring|Autonomic Agents|Neurotransmitter Uptake Inhibitors|Reserpine|Adrenergic Agents|Pharmacologic Actions|Central Nervous System Depressants|Heterocyclic Compounds|Neurotransmitter Agents|Indolizidines|Physiological Effects of Drugs|Cardiovascular Agents|Molecular Mechanisms of Pharmacological Action|Adrenergic Uptake Inhibitors|Mydriatics|Peripheral Nervous System Agents|Heterocyclic Compounds, 2-Ring|Yohimbine|Membrane Transport Modulators|Indole Alkaloids|Indoles|Adrenergic alpha-Antagonists|Central Nervous System Agents|Chemicals and Drugs Category|Tranquilizing Agents|Urological Agents|Secologanin Tryptamine Alkaloids|Chemical Actions and Uses|Alkaloids|Therapeutic Uses
oxaprozin	Lipids|Oxaprozin|Fatty Acids|Pharmacologic Actions|Acids, Acyclic|Antirheumatic Agents|Carboxylic Acids|Anti-Inflammatory Agents|Analgesics|Enzyme Inhibitors|Heterocyclic Compounds|Organic Chemicals|Cyclooxygenase Inhibitors|Anti-Inflammatory Agents, Non-Steroidal|Physiological Effects of Drugs|Azoles|Fatty Acids, Volatile|Molecular Mechanisms of Pharmacological Action|Propionates|Analgesics, Non-Narcotic|Peripheral Nervous System Agents|Oxazoles|Central Nervous System Agents|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring|Sensory System Agents|Chemical Actions and Uses|Therapeutic Uses
ODQ	Oxadiazoles|Heterocyclic Compounds, 2-Ring|Quinoxalines|Oxazoles|1H-(1,2,4)oxadiazolo(4,3-a)quinoxalin-1-one|Chemicals and Drugs Category|Azoles|Pharmacologic Actions|Molecular Mechanisms of Pharmacological Action|Heterocyclic Compounds, Fused-Ring|Heterocyclic Compounds|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Enzyme Inhibitors
benproperine	benproperine|Heterocyclic Compounds|Organic Chemicals|Benzene Derivatives|Hydrocarbons, Cyclic|Chemicals and Drugs Category|Piperidines|Heterocyclic Compounds, 1-Ring|Hydrocarbons|Hydrocarbons, Aromatic|Benzhydryl Compounds
catechin	Pyrans|Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|Chromans|Flavonoids|Chemicals and Drugs Category|Chromones|Catechin|Heterocyclic Compounds, Fused-Ring|Heterocyclic Compounds, 1-Ring|Benzopyrans
